group,gene
MPI_Pilot_markers,Aqp4
MPI_Pilot_markers,Gfap
MPI_Pilot_markers,Slc1a2
MPI_Pilot_markers,Chat
MPI_Pilot_markers,Tac2
MPI_Pilot_markers,Tshz1
MPI_Pilot_markers,Chst9
MPI_Pilot_markers,Slc17a7
MPI_Pilot_markers,Satb2
MPI_Pilot_markers,Bdnf
MPI_Pilot_markers,Drd1
MPI_Pilot_markers,Adora2a
MPI_Pilot_markers,Drd2
MPI_Pilot_markers,Gpr6
MPI_Pilot_markers,Gad1
MPI_Pilot_markers,Slc32a1
MPI_Pilot_markers,Drd3
MPI_Pilot_markers,Arhgap15
MPI_Pilot_markers,Cx3cr1
MPI_Pilot_markers,Bcl11b
MPI_Pilot_markers,Ppp1r1b
MPI_Pilot_markers,Opalin
MPI_Pilot_markers,Pdgfra
MPI_Pilot_markers,Kit
MPI_Pilot_markers,Pvalb
MPI_Pilot_markers,Sst
MPI_Pilot_markers,Oprm1
MPI_Pilot_markers,Slc17a6
MPI_Pilot_markers,Ebf1
MPI_Pilot_markers,Pdyn
MPI_Pilot_markers,Penk
MPI_Pilot_markers,Grm8
MPI_Pilot_markers,Mbp
MPI_Pilot_markers,Foxp2
MPI_Pilot_markers,Htr4
MPI_Pilot_markers,Rorb
MPI_Pilot_markers,Fezf2
MPI_Pilot_markers,Syt6
MPI_Pilot_markers,Rprm
MPI_Pilot_markers,Cux2
MPI_Pilot_markers,Cplx3
MPI_Pilot_markers,Nr4a2
MPI_Pilot_markers,Trpc4
MPI_Pilot_markers,Ndst4
MPI_Pilot_markers,Tac1
MPI_Pilot_markers,Cd24a
